Wavenumber,Average_Intensity
401.058,780.7636202956521
402.149,732.9442588086956
403.243,760.5525060086957
404.332,744.0663183782608
405.424,681.0811740304347
406.515,659.8517685999999
407.606,667.3837541043479
408.697,578.244695595652
409.785,550.8326712260871
410.876,505.42144162608685
411.967,533.0608127086956
413.055,486.90072248695657
414.143,444.9694455391305
415.233,478.6800059086957
416.321,484.3916598695652
417.409,453.3996941043477
418.499,476.5998213043478
419.586,469.8541237956522
420.673,497.94781857826086
421.761,555.0716010086958
422.848,566.862192404348
423.935,617.0712228173912
425.02,596.5482613913043
426.106,635.2513685826087
427.193,669.1000873739131
428.278,698.8635390608697
429.364,723.5205057304347
430.45,744.0318129565218
431.534,733.8941993304348
432.618,723.8680990565217
433.704,753.8389462782609
434.788,754.0246099739131
435.871,720.3820895000001
436.955,791.9807755086956
438.038,718.5006237478261
439.123,671.8671553608694
440.204,679.6764998956523
441.287,619.4796566956522
442.37,616.057233652174
443.452,514.4826429391304
444.535,541.1124664086957
445.615,466.31893359130436
446.698,443.65004364782624
447.78,394.10975223043476
448.86,376.72912363913036
449.939,319.4151091478262
451.021,315.03611216521745
452.101,314.59939263043475
453.18,264.9153191782609
454.262,279.4253125913043
455.341,192.28975010782608
456.42,156.94086557086956
457.499,178.2646014652174
458.578,160.53650503913045
459.654,166.69279051
460.733,161.47681730782605
461.811,137.67472482826088
462.89,126.91288250304348
463.966,96.08338926021736
465.044,123.8670875691739
466.12,101.44934196434781
467.197,115.96255178826087
468.273,111.38375114660869
469.349,110.51183935404347
470.426,82.18908571095652
471.501,108.07502492256522
472.576,126.84477082086951
473.651,134.68411549086954
474.726,168.18563363478262
475.801,118.49985645852176
476.876,181.6680064617391
477.95,166.52151068869568
479.022,166.4022656613043
480.097,152.00664621782605
481.171,235.55608805217392
482.243,210.36841377956517
483.317,220.23464606130437
484.388,260.2702074521739
485.46,216.11172496086962
486.533,233.0987081
487.605,206.31748817956517
488.676,257.50480082173914
489.747,260.891538136087
490.818,320.20722269130437
491.889,335.273655326087
492.959,325.72010635565215
494.03,331.49654182173913
495.1,363.72063640000005
496.171,386.76709181739125
497.239,425.54560596521736
498.309,420.02155721304337
499.379,463.7165601086957
500.446,487.7300179913044
501.514,475.1086915521739
502.584,468.96124233043486
503.651,491.3594622869565
504.718,467.3152607652175
505.788,498.6375949130434
506.855,482.3473653695651
507.921,548.2359118434782
508.988,504.73260446956533
510.055,527.2334742652174
511.119,505.09400436521753
512.186,487.85592575217385
513.252,499.2327302434783
514.318,551.6063791782608
515.382,573.0825426217391
516.448,537.6413079782608
517.512,539.3726322173915
518.577,569.3766896826089
519.641,592.8706547434782
520.704,563.5835711695652
521.768,612.9367437478261
522.833,573.443868447826
523.896,672.9138586782609
524.959,687.701975626087
526.021,721.4471325782607
527.084,741.9232429347826
528.144,801.3498286652174
529.207,782.029107369565
530.269,855.3691661782606
531.331,931.7000053043477
532.391,987.5904944826085
533.453,949.5593294739132
534.513,977.4838146608696
535.572,962.3675155086958
536.634,874.7471711652174
537.693,886.5734768913045
538.752,799.163476747826
539.812,775.6686050130436
540.87,789.7381227173913
541.929,727.4431166999999
542.988,712.5507606521738
544.047,659.9112719913044
545.105,628.3720416782609
546.164,595.3886783695651
547.22,569.3765296
548.278,556.0313778000001
549.336,564.5027009826088
550.392,534.3299206173914
551.448,497.9137433956522
552.505,452.4363003173913
553.561,503.6022076043478
554.616,513.3815170739131
555.671,415.59191189999996
556.728,437.3908125782608
557.783,445.5053682826086
558.836,415.4616308086956
559.891,450.9016606130436
560.946,446.44868771739135
562.0,415.376037773913
563.055,359.9456364130434
564.107,387.06425270869573
565.161,343.3236470956522
566.213,332.1807407913044
567.267,323.7525528826086
568.318,281.66192543086964
569.37,325.3755648913043
570.424,308.3404946130435
571.475,312.4075462347826
572.526,270.93273354782605
573.577,310.0749511999999
574.628,322.1436025043478
575.679,350.6712968956522
576.73,383.3268063608695
577.781,366.55264809999994
578.829,442.5393302043478
579.88,385.5919172391305
580.93,397.0752303
581.978,365.23341651304344
583.026,325.2907186695652
584.076,326.03306655652176
585.124,292.5417898739131
586.172,247.91131398913046
587.221,302.5320555695652
588.269,288.2060573304348
589.316,305.0693924913043
590.363,325.98120372173906
591.41,339.78901203478256
592.457,359.436890526087
593.502,298.08842103043474
594.549,327.3751766478261
595.595,380.1401870130435
596.64,331.25243387826083
597.686,309.91822081304355
598.73,327.14919908260873
599.776,372.19971133043475
600.82,338.1375697304348
601.864,365.05448207826095
602.908,367.0882779347827
603.953,362.3285868130435
604.997,381.46305563478256
606.04,379.12549210434776
607.083,396.95874752173916
608.125,383.91816001739136
609.168,409.7530981826088
610.211,446.8282240913044
611.253,416.8043823652174
612.294,472.6086350608696
613.336,524.371500721739
614.377,624.8472043521739
615.419,761.3891231391306
616.459,909.6511777826087
617.499,960.0457063999997
618.539,1051.0986641434786
619.579,980.9947456913044
620.619,893.061645247826
621.658,762.3661010826087
622.698,687.9605769043479
623.737,710.1452410173913
624.776,800.5011399391306
625.815,901.006502817391
626.852,1045.8316325434782
627.891,1176.661875695652
628.928,1283.8567959347822
629.966,1404.2928265347828
631.003,1429.696922656522
632.041,1425.7114305782607
633.077,1441.404739843478
634.114,1301.661848908696
635.15,1179.0586692217391
636.185,1121.4391554869565
637.221,1013.7029145000002
638.257,896.2655099695651
639.292,872.5444614347826
640.328,782.5617238565217
641.361,741.9126863913043
642.396,634.8223038
643.431,568.7128262782609
644.464,536.6743213956521
645.497,437.6906345565217
646.532,390.6693433434783
647.564,368.20736006086963
648.597,373.41540139130444
649.629,357.2503035391304
650.663,340.22774747826077
651.695,308.74450624347827
652.727,315.9076081695652
653.757,250.92715290869566
654.789,221.66899329130433
655.821,227.01074025652179
656.852,186.16543079782608
657.882,171.28779325173912
658.913,182.9817385134782
659.942,168.25439925565217
660.973,100.7528863621739
662.002,117.31240204869565
663.031,158.22932241782607
664.06,124.53918443608698
665.09,126.14791275043476
666.119,141.76939876304345
667.147,106.48138194434785
668.175,126.10655031913045
669.201,139.25536126869568
670.229,90.78041088608697
671.257,81.29941654347826
672.285,124.93369476347824
673.311,69.89430814813043
674.338,87.50635450608696
675.363,87.06015360999999
676.389,72.96815569434783
677.416,103.45010315304351
678.441,67.62272185695652
679.466,91.67509940565216
680.491,88.53855253173913
681.515,98.43335102391302
682.54,50.900464633999995
683.565,75.23473706817393
684.589,79.90225004956524
685.613,108.54778531086957
686.635,76.56659850473913
687.659,104.61590614608697
688.681,104.59615983304346
689.705,111.99412420130436
690.727,125.48715086391302
691.75,174.5787870682609
692.772,159.92325395260875
693.793,146.92480313043478
694.814,188.00136007826083
695.835,175.04511985217394
696.856,194.25329056521738
697.877,196.91769767999997
698.898,185.11812321304348
699.918,195.78176218695648
700.937,222.8350487869565
701.957,178.13498235652173
702.978,228.4213448913044
703.996,178.41930966434785
705.016,182.50065863478264
706.034,152.26308684173912
707.052,134.72911532782607
708.069,148.27017826608696
709.087,123.5243184326087
710.107,102.02150041947824
711.124,98.22291051173913
712.139,127.71215394608699
713.156,69.46477947421738
714.173,93.49258799043477
715.19,94.34547496304349
716.205,76.54894460130437
717.222,80.9103967247826
718.238,76.11046190608694
719.253,66.56004466426087
720.267,112.0487873269565
721.283,87.84884254347826
722.297,96.17114556817391
723.311,96.6690707921739
724.325,112.11475132086956
725.339,114.82261158086955
726.353,132.4078977243478
727.366,141.75394284695656
728.38,175.20758006130433
729.391,239.81938595652176
730.404,257.1006414295652
731.417,279.3614708782609
732.428,277.3624943826087
733.441,270.7812884608695
734.452,297.9323426782609
735.463,320.84040755652177
736.475,348.0246682565217
737.486,344.81013612608695
738.496,325.34103981739133
739.506,326.2259123999999
740.516,359.8279390217391
741.526,375.06839184347825
742.534,348.9324560086956
743.544,384.38922973478253
744.554,381.9886807826088
745.561,372.8160377782609
746.571,393.3503119173914
747.578,379.9884709347826
748.587,402.1241781956522
749.594,331.0134013956521
750.601,346.08302127826084
751.608,329.1220924913043
752.615,362.6054087652174
753.621,328.8187638869565
754.628,334.3235167869565
755.634,300.56900902173913
756.641,309.17178217826086
757.647,317.90562123478264
758.651,303.04497645217396
759.657,348.085898
760.663,261.1317969969566
761.666,330.83259754782614
762.67,327.8689585465217
763.676,315.46238666956526
764.679,335.8311060391305
765.682,350.2919059695651
766.686,367.9076191695652
767.689,378.40346540434786
768.692,344.51638609130435
769.694,320.7694357073913
770.697,310.8946774108696
771.698,308.9282874078261
772.7,284.9385114291305
773.703,257.71278656565215
774.703,267.17174983043475
775.703,239.40713389391303
776.705,253.5153453773913
777.705,258.6751430230435
778.705,286.8146986586957
779.705,256.8488970673914
780.705,283.6924405030435
781.704,321.7915137869565
782.704,301.54839735217394
783.703,311.9019803639131
784.702,298.6127128552174
785.701,340.29570567826096
786.698,329.8631436217391
787.697,383.3591245130436
788.694,345.9848330652174
789.693,427.4097584130435
790.689,390.0489983521739
791.686,371.8138245521739
792.682,407.0952478173913
793.68,466.6676267913044
794.676,434.2677113478261
795.672,508.4152949217391
796.666,517.3390838869565
797.662,575.0144368347827
798.658,621.5138862260869
799.653,648.5762688782609
800.647,692.5817693956521
801.642,736.3622245478261
802.636,788.9498189173913
803.631,830.3516500913045
804.624,839.6427287478261
805.617,845.384543673913
806.61,858.4992358304346
807.602,801.1989463347826
808.595,826.8258594608697
809.587,801.5171597782609
810.58,761.3895532695653
811.572,750.8779636173914
812.564,747.4614880043478
813.554,735.5146586913045
814.546,742.0472685913045
815.536,723.2728498956524
816.528,700.6135868521741
817.518,757.3152723304347
818.507,722.0862210304348
819.499,796.1418345565218
820.488,824.3043405173914
821.477,848.745923073913
822.466,910.1290272173914
823.455,1002.0454023217393
824.444,1114.4224499782606
825.431,1186.3337886521738
826.42,1269.8719939304349
827.408,1371.9838149956524
828.395,1497.1968706695654
829.383,1621.6993881304352
830.369,1761.1877688260868
831.356,1927.2430225652172
832.342,2104.474115652173
833.33,2381.418014565217
834.315,2576.0208160000007
835.301,2861.012529434782
836.287,3130.5935994782612
837.27,3366.257513739131
838.256,3516.1099339565226
839.241,3631.625652086957
840.226,3657.259894391305
841.209,3598.714409391305
842.194,3545.2983365217397
843.177,3422.091684695653
844.16,3248.075766826087
845.145,2979.129287652174
846.127,2735.0792118260865
847.11,2540.528156826088
848.092,2388.538739913043
849.074,2283.375316913043
850.056,2247.290505086956
851.039,2221.272138695652
852.018,2230.4484866086955
853.0,2250.598687521739
853.982,2335.558401782609
854.962,2419.6593759565217
855.941,2472.7616184782605
856.923,2490.4103542608696
857.902,2468.6395041739133
858.881,2359.275162956522
859.86,2196.888642652174
860.839,2053.9760373043478
861.818,1881.250833217391
862.797,1784.8091243478266
863.776,1657.1374401739129
864.754,1592.148396217391
865.733,1520.7632614347824
866.709,1453.498433652174
867.687,1380.0233983913045
868.664,1316.8264240391304
869.642,1303.5613436304347
870.618,1243.9717291304348
871.594,1223.4569358043475
872.569,1164.1141879739132
873.545,1153.3012316043475
874.521,1096.7944649869564
875.496,1110.3223297956522
876.471,1055.1665287043477
877.447,1037.8361117913043
878.42,1028.0843469086958
879.395,1015.3965017000002
880.37,1009.1702784217392
881.343,961.6109448695651
882.315,919.8119858434782
883.29,885.5827560173915
884.262,822.342174956522
885.235,810.064857952174
886.207,822.7304638739131
887.179,793.4936514
888.151,776.120209782609
889.123,760.3638411478261
890.095,733.2158998782609
891.065,765.2745228608696
892.037,791.6091948956521
893.009,810.3887919869566
893.978,807.9780596130436
894.948,813.1262652130434
895.919,843.0862412130434
896.888,872.7617765478259
897.857,892.6297471391306
898.826,942.4521159478261
899.795,925.7412804391304
900.764,1006.0035947260872
901.732,1042.2910216782607
902.701,1088.8480892565217
903.668,1135.4425426956525
904.636,1148.4751274347827
905.604,1194.9796320739133
906.57,1215.739714852174
907.538,1225.2341212608696
908.504,1278.3163353304349
909.47,1282.5143631347826
910.436,1328.7692541652173
911.402,1297.0844926565221
912.367,1347.7096495304347
913.333,1317.7073396652174
914.298,1334.1319165
915.264,1302.8096465913047
916.229,1266.993753421739
917.192,1262.8757641086956
918.157,1208.2914237173914
919.12,1211.169433426087
920.084,1157.7428857565217
921.047,1114.457482273913
922.01,1099.9827932782612
922.972,1021.1240420999999
923.935,999.0552773521741
924.897,951.0252003869565
925.859,883.7034252521739
926.821,859.5165661608694
927.783,776.1858023086959
928.743,738.8695738913043
929.705,731.853755773913
930.667,728.8871794652174
931.626,647.6612849913042
932.586,663.6872950565219
933.547,619.5824323434783
934.506,597.0812673130436
935.466,564.2288921913042
936.425,559.1197035173914
937.384,552.4816629999998
938.343,528.1729932565217
939.301,548.614351673913
940.26,563.8410042695651
941.217,589.4852171130434
942.175,571.9501692608698
943.132,565.7779962608695
944.09,598.5677467478262
945.046,598.4775128086956
946.002,569.3835168956522
946.96,584.5781119260869
947.916,568.3110421173914
948.872,590.8909646956521
949.828,522.4426673000002
950.783,565.6806332391304
951.737,552.9380849043478
952.692,535.2779403434782
953.647,539.3054219652174
954.601,513.1427086173913
955.556,525.0742835608696
956.509,482.307064778261
957.464,541.4214485173911
958.417,563.9073962434784
959.369,543.0379563304348
960.322,533.3686554173913
961.275,538.8385853913044
962.227,584.0254902347826
963.179,548.4919835217391
964.132,558.0877222652173
965.082,568.5437113217391
966.034,559.0049989652173
966.984,556.6115465782608
967.936,548.3093154478261
968.885,586.8423973260868
969.837,575.3164491652173
970.787,600.8970844434781
971.736,567.404047
972.686,591.9667763782609
973.635,590.0247990217391
974.584,624.2935979130435
975.533,642.0882212260871
976.48,709.6417605739131
977.429,730.9262641391305
978.378,728.3960843434783
979.325,748.6330954086957
980.273,798.4816497608696
981.22,792.1855346086955
982.166,870.115624130435
983.113,908.1600532304349
984.061,957.8728700391302
985.007,1004.3865571913047
985.953,1064.4988583086958
986.897,1109.9400822913042
987.843,1166.2170160739129
988.789,1222.1182729304346
989.734,1219.5013352173914
990.678,1313.8405118652167
991.623,1408.1506331695655
992.567,1557.8637467608696
993.51,1906.6741178999996
994.453,2302.011446247827
995.398,2884.284301465217
996.341,3717.3153392608706
997.284,4594.377607608697
998.227,5371.662414391304
999.168,5753.8945459999995
1000.11,5747.736614565219
1001.05,5125.924710608696
1001.99,4160.0249243478265
1002.94,3133.4585628260875
1003.88,2286.6017161391305
1004.82,1692.5923868217385
1005.76,1346.6897955086959
1006.7,1073.6371616173913
1007.64,926.921009952174
1008.58,806.914951695652
1009.52,751.1363807782609
1010.46,708.4862126565218
1011.4,683.0111456956521
1012.34,653.1786171956524
1013.27,667.7416295826088
1014.21,670.885054952174
1015.15,655.0320697304347
1016.09,707.5027197739131
1017.03,741.2798772391304
1017.96,732.8591965913042
1018.9,744.5692019999999
1019.84,854.1464611000001
1020.77,905.7522807347826
1021.71,987.4947065086958
1022.65,1084.2975235173915
1023.58,1213.8713427869566
1024.52,1461.3477315913042
1025.45,1597.1692575565223
1026.39,1809.2444011608702
1027.32,1981.6377733086958
1028.26,2152.158375873913
1029.19,2164.9367763347827
1030.12,2180.2478025652176
1031.06,2066.8953695000005
1031.99,1934.6596097434779
1032.92,1773.0170466782606
1033.86,1603.3326817043483
1034.79,1437.088299673913
1035.72,1311.6777713608697
1036.65,1217.2509680130436
1037.59,1141.8557173347829
1038.52,1064.1435425869565
1039.45,1025.9023582999998
1040.38,1015.1722964086957
1041.31,957.1192711521737
1042.24,974.0111104217391
1043.17,915.5586413173914
1044.1,915.7953437652174
1045.03,880.059001408696
1045.96,897.0487027739126
1046.89,905.3606229217392
1047.82,898.857328295652
1048.75,864.0318637130433
1049.68,901.8006216652171
1050.61,932.1522990347825
1051.53,993.7849404304346
1052.46,1000.4102425956523
1053.39,1049.2177284695654
1054.32,1022.9201383956521
1055.24,1107.5972123869565
1056.17,1204.7532123173914
1057.1,1260.430922021739
1058.02,1328.9019509869565
1058.95,1387.1989525304348
1059.88,1459.072318752174
1060.8,1415.1015287086957
1061.73,1424.7263659782611
1062.65,1360.920961652174
1063.58,1348.4460992086954
1064.5,1276.1550403478263
1065.43,1292.5091767826086
1066.35,1255.137813695652
1067.27,1245.4122127
1068.2,1229.6912001869564
1069.12,1217.0915594913045
1070.04,1235.9259866608693
1070.97,1205.2772648739128
1071.89,1189.9254381913045
1072.81,1129.905419756522
1073.73,1112.2177318695651
1074.65,1090.034809704348
1075.58,1025.3949145826086
1076.5,1020.0583509347828
1077.42,983.6491190826088
1078.34,956.5477409695652
1079.26,947.3038257304348
1080.18,933.0654602739131
1081.1,877.0356448999999
1082.02,856.6888145782605
1082.94,859.5207084695652
1083.86,818.458544104348
1084.78,820.1469738000002
1085.7,799.9894324173912
1086.61,777.6055285782608
1087.53,778.2573928043479
1088.45,745.5118512304347
1089.37,733.5612516173913
1090.28,739.278463473913
1091.2,766.9045303391305
1092.12,747.9471911695651
1093.03,739.4454024304348
1093.95,774.3549466695654
1094.87,769.2298235652173
1095.78,765.8879462347827
1096.7,776.1473144521738
1097.61,767.3216237434782
1098.53,803.9913520086956
1099.44,836.7771078782607
1100.36,829.9011518434783
1101.27,849.6042227869564
1102.19,818.3287118956524
1103.1,792.9114882826087
1104.01,836.0586821304347
1104.93,870.4587712260869
1105.84,911.8897118869564
1106.75,930.1945905608695
1107.67,922.8344068478262
1108.58,991.1295082434784
1109.49,1023.3635029521739
1110.4,1090.0736078130437
1111.31,1099.474387447826
1112.22,1142.638972
1113.14,1188.2452737739131
1114.05,1240.0479009913047
1114.96,1288.3589399521736
1115.87,1377.301129043478
1116.78,1469.5650328434783
1117.69,1483.4139548565215
1118.6,1576.2540249391307
1119.51,1606.9361553782608
1120.42,1680.251475391304
1121.32,1726.9840713913043
1122.23,1750.8410727391304
1123.14,1756.7368261739132
1124.05,1727.2061134782612
1124.96,1668.1619770304349
1125.86,1608.0909371739133
1126.77,1521.3777320869567
1127.68,1462.1227085913042
1128.58,1384.2459519956524
1129.49,1300.1148090000002
1130.4,1236.629973778261
1131.3,1229.036879926087
1132.21,1175.3201347
1133.11,1197.343171495652
1134.02,1251.3788583260869
1134.92,1282.222715573913
1135.83,1310.7126980521741
1136.73,1318.7678477739132
1137.64,1366.8940328869564
1138.54,1405.9638167130431
1139.44,1397.831589104348
1140.35,1341.7118699913044
1141.25,1335.4193533956523
1142.15,1295.2698201347825
1143.06,1261.6489205391304
1143.96,1265.2691748913044
1144.86,1237.3093198478261
1145.76,1212.5603104217394
1146.66,1190.228188126087
1147.57,1162.246342365217
1148.47,1130.7803799173914
1149.37,1103.3650811652171
1150.27,1133.867792013043
1151.17,1106.100727852174
1152.07,1108.497799456522
1152.97,1098.148352756522
1153.87,1067.0418201608695
1154.77,1007.9133300521738
1155.67,953.3238802086958
1156.57,850.3586857434783
1157.46,800.2301357869563
1158.36,719.2421845304348
1159.26,662.8670469956522
1160.16,635.2767209956522
1161.05,614.3782475608696
1161.95,553.3147547956521
1162.85,523.1039794956522
1163.75,494.3127888417392
1164.64,472.1443108743478
1165.54,489.25419537826093
1166.44,481.67752687565223
1167.33,428.2943464491305
1168.23,437.91008643347834
1169.12,424.0090052708696
1170.02,419.9475352830435
1170.91,419.620456646087
1171.81,420.86494079826093
1172.7,430.30981132956515
1173.59,445.42506579347827
1174.49,464.30478862826067
1175.38,469.8346730052173
1176.27,510.71641204826096
1177.17,558.1776989043478
1178.06,576.1262267043477
1178.95,623.0905146347826
1179.84,641.5849514652175
1180.74,664.7518388391303
1181.63,668.7532178956521
1182.52,672.6079988130435
1183.41,667.854222652174
1184.3,663.1529736652171
1185.19,660.1114665434782
1186.08,633.0351768
1186.97,666.6712758260869
1187.86,666.8552391913043
1188.75,692.5674553695653
1189.64,723.9210520521736
1190.53,753.1796788260871
1191.42,790.4821153521739
1192.31,807.6552284652174
1193.2,871.9559718782608
1194.09,901.5101254130434
1194.97,881.8989905217394
1195.86,910.6237382304349
1196.75,900.1619743826091
1197.64,854.6373915043481
1198.52,854.9962043434784
1199.41,838.1916272043479
1200.29,811.7936135173913
1201.18,771.4250734130434
1202.07,742.368525526087
1202.95,728.7942712478261
1203.84,662.9314812869567
1204.72,630.4300222478262
1205.61,599.503760495652
1206.49,555.5559538173912
1207.38,568.3735121130436
1208.26,505.70830176956514
1209.14,503.13988487826083
1210.03,470.3867365217391
1210.91,460.30385349130444
1211.79,428.55392827826086
1212.68,430.26117505086944
1213.56,434.0163731999999
1214.44,427.4619977739131
1215.32,413.32704553826085
1216.21,415.54590459130424
1217.09,427.67861512608687
1217.97,416.7380434739131
1218.85,440.33940374782617
1219.73,476.0131274782608
1220.61,440.01299399565215
1221.49,472.545260878261
1222.37,538.1505769782609
1223.25,588.1607216391303
1224.13,648.2736915130433
1225.01,726.9805267739131
1225.89,813.567528347826
1226.77,898.5408234260868
1227.65,950.9142347565219
1228.52,993.0667587304347
1229.4,1013.0736963956522
1230.28,988.3286964434782
1231.16,987.1122336391307
1232.03,960.9173915434782
1232.91,976.3874709652172
1233.79,959.5102941826087
1234.66,946.472205926087
1235.54,939.6325935391304
1236.42,931.9761491652171
1237.29,893.6421735434782
1238.17,845.790793326087
1239.04,781.250613752174
1239.92,709.4958918391304
1240.79,700.9925369521741
1241.67,661.8288931391305
1242.54,619.1858262869566
1243.41,591.7901152304348
1244.29,597.2194083217391
1245.16,572.1958322347825
1246.03,560.928165773913
1246.91,584.0545790478262
1247.78,573.3568508130435
1248.65,545.3848468086957
1249.52,581.3946501478262
1250.4,580.6413004347826
1251.27,583.3249242304348
1252.14,578.2337350260868
1253.01,599.2100332739129
1253.88,616.9947715826087
1254.75,617.7595112434782
1255.62,638.067683073913
1256.49,616.2011527173914
1257.36,661.8535683608695
1258.23,664.3684912217392
1259.1,692.7003955739132
1259.97,707.0944078391304
1260.84,695.9556109565217
1261.71,713.0899138739131
